subj	trial	chimera	identity	orientation	rt	acc	group
6	99	R_R	self	inverted	644.1	1	cg
6	100	R_R	other	inverted	1076.5	1	cg
6	101	R_R	other	inverted	755.2	1	cg
6	102	L_R	self	inverted	805.1	1	cg
6	103	R_L	other	inverted	815.1	1	cg
6	104	L_L	other	inverted	563.8	0	cg
6	105	L_R	other	inverted	855.3	1	cg
6	106	L_L	other	inverted	885.5	1	cg
6	107	L_R	other	inverted	734.6	1	cg
6	108	R_R	self	inverted	684.6	1	cg
6	109	L_L	self	inverted	734.7	1	cg
6	110	L_R	self	inverted	694.5	1	cg
6	111	R_L	other	inverted	704.6	1	cg
6	112	L_L	other	inverted	624.4	1	cg
6	113	L_L	self	inverted	764.8	1	cg
6	114	L_L	self	inverted	674.7	1	cg
6	115	L_R	other	inverted	604	0	cg
6	116	R_R	self	inverted	795	1	cg
6	117	R_L	self	inverted	694.2	1	cg
6	118	L_L	self	inverted	714.5	1	cg
6	119	R_R	self	inverted	624	1	cg
6	120	R_R	other	inverted	805.3	1	cg
6	121	L_L	other	inverted	1046.1	1	cg
6	122	L_R	other	inverted	724.5	1	cg
6	123	L_R	self	inverted	744.6	1	cg
6	124	R_L	self	inverted	835.4	1	cg
6	125	L_L	self	inverted	764.8	1	cg
6	126	R_R	other	inverted	805.2	1	cg
6	127	R_L	self	inverted	734.7	1	cg
6	128	R_L	self	inverted	724.6	1	cg
6	129	R_L	other	inverted	764.8	1	cg
6	130	L_R	self	inverted	553.8	1	cg
6	131	R_L	other	inverted	604.1	1	cg
6	132	L_L	other	inverted	765.1	1	cg
6	133	R_L	self	inverted	784.9	1	cg
6	134	L_L	other	inverted	764.9	1	cg
6	135	R_L	other	inverted	694.5	1	cg
6	136	L_R	other	inverted	794.9	1	cg
6	137	L_R	other	inverted	755	1	cg
6	138	R_R	self	inverted	785	1	cg
6	139	L_L	other	inverted	714.4	1	cg
6	140	R_L	self	inverted	805	1	cg
6	141	L_R	self	inverted	825.5	1	cg
6	142	R_R	other	inverted	744.5	1	cg
6	143	L_R	self	inverted	784.8	1	cg
6	144	R_R	other	inverted	624	1	cg
6	145	L_L	other	inverted	895.4	1	cg
6	146	R_L	self	inverted	714.6	1	cg
6	147	L_R	self	inverted	714.4	1	cg
6	148	R_L	self	inverted	996.1	1	cg
6	149	L_L	self	inverted	845.3	0	cg
6	150	L_R	other	inverted	744.8	1	cg
6	151	R_L	self	inverted	684.6	1	cg
6	152	R_L	other	inverted	724.5	1	cg
6	153	R_L	self	inverted	584.1	1	cg
6	154	R_R	other	inverted	724.5	1	cg
6	155	L_L	self	inverted	714.7	1	cg
6	156	L_R	self	inverted	634.1	1	cg
6	157	R_R	self	inverted	674.5	1	cg
6	158	L_L	self	inverted	594	1	cg
6	159	L_L	self	inverted	865.2	1	cg
6	160	L_L	self	inverted	785.2	1	cg
7	1	L_L	other	inverted	724.6	1	cg
7	2	R_R	other	inverted	724.8	1	cg
7	3	L_L	self	inverted	593.9	1	cg
7	4	L_L	other	inverted	674.2	1	cg
7	5	L_R	self	inverted	664.3	1	cg
7	6	R_R	other	inverted	613.9	1	cg
7	7	R_R	self	inverted	543.6	1	cg
7	8	R_L	other	inverted	714.5	1	cg
7	9	R_L	other	inverted	443.3	0	cg
7	10	R_R	other	inverted	694.3	1	cg
7	11	L_R	other	inverted	905.4	0	cg
7	12	R_L	self	inverted	895.3	1	cg
7	13	R_L	other	inverted	694.3	1	cg
7	14	L_L	self	inverted	603.8	1	cg
7	15	R_L	self	inverted	573.7	1	cg
7	16	R_R	self	inverted	624	1	cg
7	17	R_R	self	inverted	423.1	1	cg
7	18	R_L	other	inverted	593.7	1	cg
7	19	L_L	self	inverted	624.5	1	cg
7	20	R_L	self	inverted	744.5	1	cg
7	21	L_R	self	inverted	844.9	1	cg
7	22	R_R	other	inverted	684.2	1	cg
7	23	R_L	other	inverted	413.1	1	cg
7	24	L_L	self	inverted	583.8	1	cg
7	25	L_R	other	inverted	936.1	1	cg
7	26	L_L	other	inverted	855	1	cg
7	27	L_R	other	inverted	744.7	1	cg
7	28	L_R	other	inverted	603.8	0	cg
7	29	L_R	self	inverted	855	1	cg
7	30	L_R	other	inverted	724.5	1	cg
7	31	R_L	self	inverted	583.8	1	cg
7	32	L_L	other	inverted	824.9	1	cg
7	33	L_L	other	inverted	674.2	1	cg
7	34	R_R	self	inverted	714.5	1	cg
7	35	L_L	self	inverted	714.3	1	cg
7	36	R_R	self	inverted	744.5	1	cg
7	37	L_R	self	inverted	875.1	1	cg
7	38	R_R	other	inverted	925.6	1	cg
7	39	L_R	self	inverted	965.6	1	cg
7	40	R_L	self	inverted	975.7	1	cg
7	41	L_R	other	upright	593.7	0	cg
7	42	L_L	self	upright	1136.4	1	cg
7	43	L_L	self	upright	684.2	1	cg
7	44	L_R	other	upright	895.4	1	cg
7	45	R_L	self	upright	593.9	1	cg
7	46	R_R	self	upright	734.5	1	cg
7	47	L_L	other	upright	634.1	1	cg
7	48	R_L	other	upright	593.8	0	cg
7	49	R_R	other	upright	925.7	1	cg
7	50	R_L	other	upright	624	1	cg
7	51	L_L	other	upright	785.1	1	cg
7	52	R_R	self	upright	714.6	1	cg
7	53	R_R	other	upright	664.1	1	cg
7	54	R_R	self	upright	674.6	1	cg
7	55	L_R	other	upright	814.9	1	cg
7	56	L_R	self	upright	603.9	1	cg
7	57	R_R	other	upright	634	1	cg
7	58	L_R	self	upright	644	1	cg
7	59	L_L	other	upright	684.2	1	cg
7	60	L_L	self	upright	644.1	1	cg
7	61	L_R	self	upright	593.8	1	cg
7	62	R_R	self	upright	544.1	1	cg
7	63	R_L	other	upright	814.9	1	cg
7	64	R_R	self	upright	774.7	1	cg
7	65	R_L	other	upright	644.2	1	cg
7	66	R_L	self	upright	674.6	1	cg
7	67	R_L	self	upright	775.1	1	cg
7	68	L_L	self	upright	583.8	1	cg
7	69	L_L	other	upright	634	1	cg
7	70	R_L	self	upright	714.6	1	cg
7	71	L_L	self	upright	594	1	cg
7	72	L_R	self	upright	784.8	1	cg
7	73	L_L	other	upright	624	1	cg
7	74	L_R	self	upright	574.1	1	cg
7	75	R_R	other	upright	543.6	1	cg
7	76	R_R	other	upright	644.1	1	cg
7	77	L_R	other	upright	1026.1	1	cg
7	78	L_R	other	upright	654.5	1	cg
7	79	R_L	other	upright	624.2	1	cg
7	80	R_L	self	upright	574	1	cg
7	81	R_L	other	inverted	674.3	1	cg
7	82	L_R	self	inverted	523.5	1	cg
7	83	L_L	other	inverted	845.2	1	cg
7	84	L_R	other	inverted	875.3	0	cg
7	85	R_R	other	inverted	734.7	1	cg
7	86	L_R	other	inverted	664.2	1	cg
7	87	R_R	other	inverted	614.1	1	cg
7	88	L_L	other	inverted	724.6	0	cg
7	89	L_R	self	inverted	784.8	1	cg
7	90	R_R	self	inverted	724.4	1	cg
7	91	L_R	other	inverted	784.7	1	cg
7	92	L_L	self	inverted	563.7	1	cg
7	93	L_L	self	inverted	885.3	1	cg
7	94	R_L	other	inverted	644.1	1	cg
7	95	L_L	other	inverted	714.5	0	cg
7	96	L_L	other	inverted	644.2	1	cg
7	97	L_R	self	inverted	1076.3	0	cg
7	98	R_R	self	inverted	744.6	1	cg
7	99	L_R	self	inverted	593.8	1	cg
7	100	R_L	other	inverted	815.1	1	cg
7	101	L_L	self	inverted	593.9	1	cg
7	102	R_L	self	inverted	704.4	1	cg
7	103	L_R	other	inverted	603.9	1	cg
7	104	R_R	other	inverted	684.5	0	cg
7	105	L_L	other	inverted	935.6	1	cg
7	106	L_R	self	inverted	583.9	1	cg
7	107	R_R	self	inverted	744.6	1	cg
7	108	R_R	other	inverted	774.8	1	cg
7	109	R_L	other	inverted	604	1	cg
7	110	L_R	other	inverted	443.1	1	cg
7	111	L_L	self	inverted	745.3	1	cg
7	112	R_L	self	inverted	945.7	1	cg
7	113	R_R	self	inverted	603.9	1	cg
7	114	R_L	self	inverted	714.5	1	cg
7	115	R_R	self	inverted	634.1	1	cg
7	116	R_L	self	inverted	543.7	1	cg
7	117	L_L	self	inverted	734.6	1	cg
7	118	R_L	self	inverted	754.7	1	cg
7	119	R_L	other	inverted	855.3	1	cg
7	120	R_R	other	inverted	1026.1	1	cg
7	121	L_R	self	upright	553.8	1	cg
7	122	L_L	self	upright	614.1	1	cg
7	123	L_L	other	upright	634.1	1	cg
7	124	R_R	other	upright	624.1	1	cg
7	125	R_R	self	upright	865.2	1	cg
7	126	R_L	self	upright	513.5	1	cg
7	127	L_L	other	upright	855.2	1	cg
7	128	L_R	other	upright	825.1	1	cg
7	129	R_R	self	upright	654.1	1	cg
7	130	R_R	other	upright	704.4	1	cg
7	131	L_R	other	upright	684.5	1	cg
7	132	R_R	self	upright	895.3	1	cg
7	133	L_R	self	upright	674.3	1	cg
7	134	R_L	other	upright	704.6	1	cg
7	135	L_R	self	upright	784.9	1	cg
7	136	L_R	self	upright	583.9	1	cg
7	137	L_R	self	upright	815.7	1	cg
7	138	R_L	self	upright	483.4	1	cg
7	139	L_L	other	upright	614	1	cg
7	140	R_R	self	upright	654.1	1	cg
7	141	L_L	self	upright	654.1	0	cg
